# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: C:\Users\Marco Reus\Documents\ECE385\SLC-3\SLC-3_Pin_Assignment.csv
# Generated on: Fri Jul 16 01:39:31 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
HEX1[2],Output,PIN_E18,6,B6_N0,PIN_E18,2.5 V,,,,,
HEX1[1],Output,PIN_D18,6,B6_N0,PIN_D18,2.5 V,,,,,
HEX1[0],Output,PIN_C18,7,B7_N0,PIN_C18,2.5 V,,,,,
HEX2[6],Output,PIN_B22,6,B6_N0,PIN_B22,2.5 V,,,,,
HEX2[5],Output,PIN_C22,6,B6_N0,PIN_C22,2.5 V,,,,,
HEX2[4],Output,PIN_B21,6,B6_N0,PIN_B21,2.5 V,,,,,
HEX2[3],Output,PIN_A21,6,B6_N0,PIN_A21,2.5 V,,,,,
HEX2[2],Output,PIN_B19,7,B7_N0,PIN_B19,2.5 V,,,,,
HEX2[1],Output,PIN_A20,7,B7_N0,PIN_A20,2.5 V,,,,,
HEX2[0],Output,PIN_B20,6,B6_N0,PIN_B20,2.5 V,,,,,
HEX3[6],Output,PIN_E17,6,B6_N0,PIN_E17,2.5 V,,,,,
HEX3[5],Output,PIN_D19,6,B6_N0,PIN_D19,2.5 V,,,,,
HEX3[4],Output,PIN_C20,6,B6_N0,PIN_C20,2.5 V,,,,,
HEX3[3],Output,PIN_C19,7,B7_N0,PIN_C19,2.5 V,,,,,
HEX3[2],Output,PIN_E21,6,B6_N0,PIN_E21,2.5 V,,,,,
HEX3[1],Output,PIN_E22,6,B6_N0,PIN_E22,2.5 V,,,,,
HEX3[0],Output,PIN_F21,6,B6_N0,PIN_F21,2.5 V,,,,,
HEX4[6],Output,PIN_F20,6,B6_N0,PIN_H19,,,,,,
HEX4[5],Output,PIN_F19,6,B6_N0,PIN_H18,,,,,,
HEX4[4],Output,PIN_H19,6,B6_N0,PIN_J11,,,,,,
HEX4[3],Output,PIN_J18,6,B6_N0,PIN_A15,,,,,,
HEX4[2],Output,PIN_E19,6,B6_N0,PIN_J20,,,,,,
HEX4[1],Output,PIN_E20,6,B6_N0,PIN_C9,,,,,,
HEX4[0],Output,PIN_F18,6,B6_N0,PIN_J12,,,,,,
HEX5[6],Output,PIN_N20,6,B6_N0,PIN_A16,,,,,,
HEX5[5],Output,PIN_N19,6,B6_N0,PIN_H13,,,,,,
HEX5[4],Output,PIN_M20,6,B6_N0,PIN_E12,,,,,,
HEX5[3],Output,PIN_N18,6,B6_N0,PIN_H14,,,,,,
HEX5[2],Output,PIN_L18,6,B6_N0,PIN_E13,,,,,,
HEX5[1],Output,PIN_K20,6,B6_N0,PIN_H12,,,,,,
HEX5[0],Output,PIN_J20,6,B6_N0,PIN_B15,,,,,,
LED[9],Output,PIN_B11,7,B7_N0,PIN_B11,2.5 V,,,,,
LED[8],Output,PIN_A11,7,B7_N0,PIN_A11,2.5 V,,,,,
LED[7],Output,PIN_D14,7,B7_N0,PIN_D14,2.5 V,,,,,
LED[6],Output,PIN_E14,7,B7_N0,PIN_E14,2.5 V,,,,,
LED[5],Output,PIN_C13,7,B7_N0,PIN_C13,2.5 V,,,,,
LED[4],Output,PIN_D13,7,B7_N0,PIN_D13,2.5 V,,,,,
LED[3],Output,PIN_B10,7,B7_N0,PIN_B10,2.5 V,,,,,
LED[2],Output,PIN_A10,7,B7_N0,PIN_A10,2.5 V,,,,,
LED[1],Output,PIN_A9,7,B7_N0,PIN_A9,2.5 V,,,,,
LED[0],Output,PIN_A8,7,B7_N0,PIN_A8,2.5 V,,,,,
Run,Input,PIN_A7,7,B7_N0,PIN_A7,2.5 V,,,,,
SW[9],Input,PIN_F15,7,B7_N0,PIN_F15,2.5 V,,,,,
SW[8],Input,PIN_B14,7,B7_N0,PIN_B14,2.5 V,,,,,
SW[7],Input,PIN_A14,7,B7_N0,PIN_A14,2.5 V,,,,,
SW[6],Input,PIN_A13,7,B7_N0,PIN_A13,2.5 V,,,,,
SW[5],Input,PIN_B12,7,B7_N0,PIN_B12,2.5 V,,,,,
SW[4],Input,PIN_A12,7,B7_N0,PIN_A12,2.5 V,,,,,
SW[3],Input,PIN_C12,7,B7_N0,PIN_C12,2.5 V,,,,,
SW[2],Input,PIN_D12,7,B7_N0,PIN_D12,2.5 V,,,,,
SW[1],Input,PIN_C11,7,B7_N0,PIN_C11,2.5 V,,,,,
SW[0],Input,PIN_C10,7,B7_N0,PIN_C10,2.5 V,,,,,
